Player,Age,Team,Position,GP,CF,CA,CF%,CF rel,FF,FA,FF%,FF rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
Vitaly Abramov,22,OTT,RW,2,14,18,43.8,-2.8,8,14,36.4,-11.6,0.0,100.0,100.0,0.0,100.0,9:43,9:43,0,0,0.2,2,0.0
Noel Acciari,29,FLA,C,41,430,474,47.6,-7.2,330,357,48.0,-7.0,6.7,93.0,99.8,31.6,68.4,15:24,12:13,17,11,3.1,102,66.7
Calen Addison,20,MIN,D,3,44,48,47.8,0.8,34,40,45.9,-1.7,12.0,91.7,103.7,75.9,24.1,18:31,15:46,0,0,1.0,6,66.7
Kenny Agostino,28,TOR,LW,1,3,1,75.0,12.3,3,1,75.0,15.7,0.0,100.0,100.0,0.0,100.0,4:08,4:08,0,0,0.1,0,
Andrew Agozzino,30,ANA,LW,3,32,37,46.4,6.4,22,24,47.8,11.3,7.1,93.8,100.9,47.6,52.4,12:11,11:55,0,1,0.2,5,60.0
Jack Ahcan,23,BOS,D,3,43,61,41.3,-10.7,38,49,43.7,-10.1,0.0,90.0,90.0,72.4,27.6,20:38,18:11,0,0,0.1,7,71.4
Sebastian Aho,23,CAR,F,56,867,667,56.5,4.0,651,506,56.3,4.2,10.3,91.3,101.7,56.1,43.9,19:28,14:49,33,61,6.3,251,59.0
Sebastian Aho,24,NYI,D,3,36,48,42.9,-12.2,27,40,40.3,-15.2,11.1,88.0,99.1,44.4,55.6,13:21,13:16,0,3,-0.1,8,50.0
Frederic Allard,23,NSH,D,1,11,11,50.0,-6.3,11,7,61.1,2.6,0.0,60.0,60.0,50.0,50.0,16:59,16:59,0,0,0.0,0,
Wade Allison,23,PHI,RW,14,146,123,54.3,2.1,104,93,52.8,1.4,7.2,91.9,99.2,51.9,48.1,12:56,11:12,6,3,3.2,39,61.5
Olle Alsing,24,OTT,D,4,30,39,43.5,-2.2,20,33,37.7,-9.0,11.1,92.9,104.0,60.9,39.1,10:50,10:49,1,2,-1.3,3,33.3
Mark Alt,29,LAK,D,2,15,21,41.7,2.3,12,17,41.4,-0.4,0.0,100.0,100.0,60.0,40.0,13:35,12:09,0,0,-1.4,4,75.0
Michael Amadio,24,TOT,C,25,237,269,46.8,-0.1,177,206,46.2,-1.3,5.8,93.0,98.8,56.0,44.0,12:33,11:05,3,8,-4.0,,
Joey Anderson,22,TOR,RW,1,5,12,29.4,-14.5,1,9,10.0,-34.4,,100.0,,57.1,42.9,9:36,9:36,0,1,-0.5,0,
Josh Anderson,26,MTL,RW,52,671,626,51.7,-2.6,487,468,51.0,-2.4,7.8,89.3,97.1,56.0,44.0,16:25,14:24,17,12,2.2,218,57.3
Michael Anderson,21,LAK,D,54,788,849,48.1,0.9,596,647,47.9,0.1,8.2,92.1,100.3,46.8,53.2,21:11,19:04,14,34,-0.9,110,47.3
Jaret Anderson-Dolan,21,LAK,C,34,289,413,41.2,-7.7,220,316,41.0,-8.6,9.9,88.6,98.5,47.9,52.1,13:31,11:32,4,7,-5.0,65,56.9
Lias Andersson,22,LAK,C,23,198,260,43.2,-1.5,154,203,43.1,-0.9,12.5,88.7,101.2,42.4,57.6,12:04,11:25,3,5,-3.4,37,62.2
Rasmus Andersson,24,CGY,D,56,885,889,49.9,-4.7,647,688,48.5,-6.3,9.0,89.5,98.5,52.0,48.0,21:13,17:32,16,39,0.6,197,48.7
Andy Andreoff,29,PHI,LW,6,29,46,38.7,-19.0,25,34,42.4,-12.5,0.0,75.0,75.0,50.0,50.0,8:37,8:34,1,0,-2.5,4,50.0
Anthony Angello,24,PIT,C,19,109,102,51.7,4.3,89,71,55.6,8.5,7.0,98.1,105.2,42.6,57.4,7:59,7:11,1,1,0.9,27,70.4
Artem Anisimov,32,OTT,C,19,171,198,46.3,-2.4,118,139,45.9,-4.4,9.0,94.3,103.3,45.1,54.9,12:02,10:09,4,7,-1.5,56,53.6
Mason Appleton,25,WPG,C,56,578,648,47.1,-1.7,445,485,47.8,-0.7,10.4,92.7,103.1,42.7,57.3,14:25,12:54,13,21,-7.5,140,62.9
Josh Archibald,28,EDM,RW,52,442,535,45.2,-4.1,330,390,45.8,-3.3,11.0,91.5,102.5,32.1,67.9,13:33,11:16,14,15,-2.7,103,60.2
Joel Armia,27,MTL,RW,41,501,416,54.6,0.5,354,315,52.9,0.1,9.8,90.9,100.8,53.9,46.1,14:42,12:28,18,18,4.3,123,59.3
Viktor Arvidsson,27,NSH,LW,50,722,607,54.3,6.7,584,456,56.2,8.5,8.6,92.6,101.2,57.1,42.9,16:36,14:20,18,23,5.1,264,57.2
Rasmus Asplund,23,BUF,F,28,249,309,44.6,-1.0,203,261,43.8,-0.9,9.1,92.7,101.9,42.3,57.7,12:51,12:04,14,3,-0.1,45,75.6
Zach Aston-Reese,26,PIT,C,45,431,452,48.8,-0.9,339,334,50.4,1.1,8.2,94.2,102.4,32.2,67.8,14:37,12:41,14,16,0.1,119,66.4
Andreas Athanasiou,26,LAK,C,47,519,566,47.8,-0.8,393,418,48.5,-0.2,8.9,89.4,98.3,54.1,45.9,14:57,13:01,18,10,-0.7,153,55.6
Cam Atkinson,31,CBJ,RW,56,700,788,47.0,0.8,548,592,48.1,1.6,8.8,88.1,96.9,57.9,42.1,18:56,14:57,22,45,-6.1,250,63.2
Nicolas Aube-Kubel,24,PHI,RW,50,443,431,50.7,-1.4,339,329,50.7,-0.6,6.5,93.3,99.8,44.3,55.7,11:10,10:58,16,17,-3.0,93,57.0
David Backes,36,ANA,C,15,138,134,50.7,-2.1,106,97,52.2,-1.0,7.9,84.7,92.6,37.9,62.1,12:44,10:57,5,5,-0.7,49,61.2
Mikael Backlund,31,CGY,C,54,696,615,53.1,0.2,535,470,53.2,0.9,8.9,88.4,97.3,47.7,52.3,17:36,13:56,48,49,7.7,244,59.0
Nicklas Backstrom,33,WSH,C,55,699,710,49.6,-0.8,519,539,49.1,-1.1,12.8,89.2,102.0,58.3,41.7,18:35,15:11,33,24,4.7,161,56.5
Kevin Bahl,20,NJD,D,7,67,97,40.9,-2.5,48,77,38.4,-5.1,9.4,90.9,100.3,48.3,51.7,16:55,15:46,2,4,-2.8,10,50.0
Josh Bailey,31,NYI,C,54,618,705,46.7,-3.0,462,533,46.4,-4.4,11.0,93.2,104.1,51.2,48.8,17:30,14:32,19,39,2.7,122,63.1
Justin Bailey,25,VAN,RW,3,21,11,65.6,15.6,17,11,60.7,10.7,0.0,80.0,80.0,81.8,18.2,6:48,6:46,0,0,0.9,7,85.7
Rudolfs Balcers,23,SJS,LW,41,476,493,49.1,2.1,370,345,51.7,4.5,8.1,88.4,96.4,48.7,51.3,14:43,13:07,31,15,6.6,99,66.7
Alexander Barabanov,26,TOT,F,22,207,226,47.8,1.9,158,169,48.3,1.9,12.1,88.1,100.2,42.0,58.0,12:19,10:58,9,9,2.3,,
Ivan Barbashev,25,STL,C,38,354,386,47.8,-0.3,269,291,48.0,0.3,8.0,94.7,102.7,49.7,50.3,13:21,11:15,9,12,-3.0,71,60.6
Aleksander Barkov,25,FLA,C,50,805,550,59.4,8.1,634,434,59.4,7.7,9.8,89.3,99.2,53.8,46.2,20:56,15:28,39,23,20.3,261,67.4
Alex Barre-Boulet,23,TBL,F,15,160,130,55.2,3.1,115,99,53.7,1.2,8.1,92.0,100.1,64.5,35.5,15:15,12:27,4,4,1.2,47,55.3
Tyson Barrie,29,EDM,D,56,990,932,51.5,4.6,750,734,50.5,2.8,10.4,90.9,101.3,59.0,41.0,21:24,17:44,16,43,-1.5,291,50.2
Morgan Barron,22,NYR,C,5,30,50,37.5,0.2,23,43,34.8,-2.1,11.1,89.7,100.8,47.8,52.2,13:41,11:49,0,2,-0.8,7,42.9
Matt Bartkowski,32,MIN,D,1,6,16,27.3,-27.1,6,13,31.6,-20.4,0.0,87.5,87.5,40.0,60.0,13:02,11:22,0,0,-0.5,2,100.0
Mathew Barzal,23,NYI,C,55,852,703,54.8,9.1,670,513,56.6,10.9,9.8,89.6,99.4,59.4,40.6,18:43,16:07,28,45,19.0,217,61.8
Nathan Bastian,23,NJD,RW,41,376,396,48.7,-1.3,288,305,48.6,-0.3,9.6,91.7,101.3,30.4,69.6,12:37,11:13,11,6,-2.4,74,62.2
Drake Batherson,22,OTT,C,56,685,754,47.6,-1.0,518,585,47.0,-2.3,7.2,89.9,97.1,51.9,48.1,16:28,13:13,15,25,-0.2,212,52.4
Gavin Bayreuther,26,CBJ,D,9,114,104,52.3,7.7,92,79,53.8,10.5,4.5,93.3,97.8,59.4,40.6,15:23,15:01,5,0,-0.5,32,50.0
Jay Beagle,35,VAN,RW/C,30,226,262,46.3,-2.0,165,199,45.3,-3.4,7.8,91.9,99.6,26.8,73.2,12:31,9:15,11,4,-2.2,38,55.3
Jake Bean,22,CAR,D,42,477,420,53.2,-1.4,361,329,52.3,-1.8,6.3,91.8,98.1,55.9,44.1,14:32,13:19,11,18,4.7,116,47.4
Ethan Bear,23,EDM,D,43,519,538,49.1,0.1,384,393,49.4,0.4,9.6,90.5,100.0,51.3,48.7,17:58,15:36,13,41,5.4,100,53.0
Nicolas Beaudin,21,CHI,D,19,155,245,38.8,-5.9,113,182,38.3,-6.1,14.1,92.8,106.9,56.1,43.9,13:47,12:30,4,19,-3.4,22,31.8
Nathan Beaulieu,28,WPG,D,25,291,352,45.3,-3.4,226,276,45.0,-3.2,9.1,89.9,99.0,50.3,49.7,16:44,14:52,3,23,-8.1,52,50.0
Anthony Beauvillier,23,NYI,LW,47,517,582,47.0,-1.8,384,440,46.6,-3.5,11.9,93.7,105.5,47.5,52.5,16:24,14:09,15,27,5.9,174,62.6
Pierre-Edouard Bellemare,35,COL,LW,53,425,349,54.9,-4.4,299,249,54.6,-4.5,7.3,93.8,101.2,40.6,59.4,11:20,9:05,17,11,5.7,101,59.4
Kieffer Bellows,22,NYI,LW,14,123,119,50.8,2.3,87,90,49.2,-1.7,7.8,93.1,100.9,56.7,43.3,11:01,10:16,2,2,-0.5,36,52.8
Louis Belpedio,24,MIN,D,1,6,17,26.1,-29.1,6,14,30.0,-23.1,0.0,88.9,88.9,40.0,60.0,13:58,11:49,0,0,-0.6,3,66.7
Alex Belzile,29,MTL,F,2,22,17,56.4,3.3,16,14,53.3,3.8,12.5,77.8,90.3,66.7,33.3,10:39,9:60,1,1,0.0,6,50.0
Emil Bemstrom,21,CBJ,C,20,205,199,50.7,4.6,151,146,50.8,3.4,6.6,95.2,101.8,46.9,53.1,12:51,11:55,2,5,1.6,54,51.9
Jamie Benn,31,DAL,LW,52,732,621,54.1,1.6,540,463,53.8,1.7,9.6,92.5,102.0,57.8,42.2,17:47,14:41,18,36,6.9,209,59.3
Jordie Benn,33,TOT,D,39,417,481,46.4,-1.8,319,367,46.5,-2.4,11.6,91.5,103.1,50.9,49.1,14:45,13:23,5,19,-2.7,,
Sam Bennett,24,TOT,C,48,566,456,55.4,1.9,433,350,55.3,2.6,9.7,88.2,98.0,60.7,39.3,14:25,12:14,16,27,6.1,,
Matt Benning,26,NSH,D,53,593,644,47.9,-2.5,453,476,48.8,-2.4,7.4,93.0,100.3,34.5,65.5,16:20,14:17,3,28,-2.0,97,44.3
Simon Benoit,22,ANA,D,6,85,72,54.1,1.4,64,53,54.7,3.3,4.3,87.2,91.5,32.1,67.9,17:12,15:31,0,1,-0.3,8,37.5
Patrice Bergeron,35,BOS,C,54,790,473,62.5,11.2,641,360,64.0,11.8,10.8,88.7,99.5,57.5,42.5,18:13,13:06,35,14,13.9,298,61.1
Lean Bergmann,22,SJS,F,1,8,15,34.8,-7.0,6,12,33.3,-3.7,0.0,88.9,88.9,60.0,40.0,10:19,10:19,1,0,-0.8,1,100.0
Jacob Bernard-Docker,20,OTT,D,5,46,58,44.2,-2.3,31,49,38.8,-9.1,18.8,97.6,116.3,74.1,25.9,13:40,13:16,0,2,-2.3,16,37.5
Tyler Bertuzzi,25,DET,LW,9,115,94,55.0,9.5,85,76,52.8,8.5,7.6,91.7,99.2,60.3,39.7,19:37,14:03,6,8,0.9,34,58.8
Alex Biega,32,DET,D,13,95,133,41.7,-1.5,68,99,40.7,-3.0,9.1,91.9,101.0,47.4,52.6,10:40,9:33,0,4,-2.8,18,22.2
Clark Bishop,24,OTT,C,13,109,112,49.3,2.7,83,82,50.3,4.2,10.4,92.1,102.5,22.4,77.6,9:28,9:07,3,6,0.9,25,64.0
Anthony Bitetto,30,NYR,D,14,135,204,39.8,-5.2,102,160,38.9,-7.2,8.5,88.0,96.5,50.5,49.5,14:26,13:28,2,3,-4.2,25,48.0
Anders Bjork,24,TOT,LW,45,437,478,47.8,-3.7,338,358,48.6,-2.8,7.2,88.2,95.3,44.3,55.7,13:53,12:10,25,13,0.0,,
Oliver Bjorkstrand,25,CBJ,RW,56,717,805,47.1,0.9,563,617,47.7,1.2,10.3,87.6,97.9,53.1,46.9,17:37,15:57,39,26,-5.3,237,60.3
Tobias Bjornfot,19,LAK,D,33,418,485,46.3,-1.7,306,369,45.3,-2.8,6.1,93.7,99.7,51.1,48.9,16:51,15:28,5,13,-5.1,55,54.5
Nick Bjugstad,28,MIN,C,44,382,464,45.2,-2.0,309,333,48.1,-0.2,9.7,93.3,103.0,38.4,61.6,11:49,10:47,12,10,2.7,117,66.7
Colin Blackwell,27,NYR,C,47,436,553,44.1,-3.2,338,414,44.9,-2.7,11.5,91.4,102.9,50.0,50.0,14:00,12:11,15,17,-7.0,115,55.7
Sammy Blais,24,STL,LW,36,317,369,46.2,-3.4,236,284,45.4,-4.4,11.8,90.0,101.9,50.6,49.4,12:04,11:59,9,11,-0.7,53,58.5
Joachim Blichfeld,22,SJS,W,5,33,22,60.0,14.8,19,16,54.3,5.7,7.7,76.9,84.6,40.9,59.1,8:41,7:34,0,1,-0.5,7,42.9
Anton Blidh,25,BOS,LW,10,83,82,50.3,-3.0,66,56,54.1,-0.3,2.1,84.6,86.7,30.8,69.2,10:46,9:32,1,2,0.1,18,55.6
Teddy Blueger,26,PIT,C,43,387,419,48.0,-3.0,301,310,49.3,-1.6,10.5,91.5,102.0,31.6,68.4,14:51,12:42,11,12,-1.6,77,63.6
Brock Boeser,23,VAN,RW,56,779,808,49.1,3.7,594,617,49.1,3.4,12.4,87.6,100.0,60.2,39.8,19:19,15:32,16,31,-2.8,247,57.1
Zach Bogosian,30,TOR,D,45,517,475,52.1,1.1,398,376,51.4,-0.5,8.8,92.6,101.4,50.5,49.5,14:32,13:02,7,19,6.1,85,42.4
Nick Bonino,32,MIN,C,55,433,622,41.0,-6.7,342,442,43.6,-4.8,13.7,89.6,103.3,34.7,65.3,14:51,11:03,22,8,0.6,103,64.1
Adam Boqvist,20,CHI,D,35,393,410,48.9,1.4,291,311,48.3,1.4,8.0,90.4,98.4,62.3,37.7,16:59,13:27,7,21,-1.1,83,47.0
Jesper Boqvist,22,NJD,C,28,232,284,45.0,-4.7,172,218,44.1,-5.2,8.3,91.4,99.8,35.8,64.2,11:09,10:39,8,10,-2.9,63,54.0
William Borgen,24,BUF,D,10,97,138,41.3,-6.5,82,112,42.3,-6.0,6.3,90.6,96.8,42.4,57.6,16:16,14:48,0,1,0.0,12,58.3
Andreas Borgman,25,TBL,D,7,76,73,51.0,-2.1,56,58,49.1,-3.9,10.3,86.4,96.6,68.6,31.4,11:58,11:47,2,3,-0.2,23,30.4
Mark Borowiecki,31,NSH,D,22,197,218,47.5,-7.5,150,143,51.2,-3.3,7.5,90.7,98.2,27.1,72.9,13:41,11:38,1,5,-1.5,47,38.3
Robert Bortuzzo,31,STL,D,40,394,391,50.2,3.5,293,285,50.7,4.0,6.5,90.7,97.2,54.7,45.3,14:10,12:26,7,17,0.3,70,44.3
Evan Bouchard,21,EDM,D,14,198,177,52.8,6.1,139,141,49.6,1.3,5.8,92.3,98.1,68.2,31.8,14:50,13:50,4,10,-0.1,69,55.1
Madison Bowey,25,CHI,D,2,19,19,50.0,14.0,14,14,50.0,14.7,10.0,100.0,110.0,33.3,66.7,11:09,11:02,1,2,0.0,1,0.0
Travis Boyd,27,TOT,C,39,267,353,43.1,-4.6,207,272,43.2,-5.2,9.6,90.2,99.8,55.8,44.2,10:44,9:36,8,6,-7.6,,
Tyler Bozak,34,STL,C,31,251,335,42.8,-5.6,180,242,42.7,-6.0,10.2,88.1,98.3,39.8,60.2,14:55,11:36,12,10,-3.8,56,62.5
Erik Brannstrom,21,OTT,D,30,376,366,50.7,3.9,274,278,49.6,2.7,12.6,89.4,102.0,50.0,50.0,16:21,13:57,8,31,-5.5,93,45.2
Derick Brassard,33,ARI,C,53,542,541,50.0,2.3,389,413,48.5,0.7,8.2,90.6,98.8,50.1,49.9,14:48,12:20,17,19,-3.3,130,51.5
Jesper Bratt,22,NJD,W,46,585,483,54.8,5.7,458,363,55.8,8.2,8.7,89.9,98.6,59.1,40.9,16:05,13:16,17,22,1.5,181,55.8
Justin Braun,33,PHI,D,53,726,695,51.1,-1.7,551,529,51.0,-1.2,9.4,90.5,99.9,40.2,59.8,18:32,16:02,7,31,-1.4,119,49.6
Guillaume Brisebois,23,VAN,D,1,5,21,19.2,-25.7,3,18,14.3,-30.2,0.0,100.0,100.0,50.0,50.0,11:31,10:38,0,1,-1.7,0,
T.J. Brodie,30,TOR,D,56,900,902,49.9,-1.7,696,657,51.4,-0.6,11.6,93.2,104.8,52.9,47.1,21:33,19:07,22,51,12.2,110,43.6
Jonas Brodin,27,MIN,D,53,798,919,46.5,0.4,613,662,48.1,1.2,11.3,89.6,100.9,44.4,55.6,22:26,19:21,14,19,-2.2,166,48.2
Jonny Brodzinski,27,NYR,C,5,33,67,33.0,-13.3,28,54,34.1,-11.7,5.6,96.9,102.4,41.7,58.3,11:20,11:01,0,1,-1.8,8,87.5
Mathias Brome,26,DET,F,26,215,240,47.3,-2.3,169,187,47.5,-1.6,3.2,92.6,95.8,51.3,48.7,13:39,11:51,12,10,-2.7,38,57.9
Adam Brooks,24,TOR,C,11,77,78,49.7,-2.1,53,58,47.7,-5.9,13.6,94.7,108.4,51.0,49.0,10:41,10:06,4,4,1.5,14,71.4
Connor Brown,27,OTT,RW,56,719,694,50.9,3.5,536,513,51.1,3.3,10.5,88.8,99.2,38.4,61.6,18:15,13:56,56,29,-4.9,200,61.5
Dustin Brown,36,LAK,RW,49,633,576,52.4,5.6,489,453,51.9,4.6,9.0,89.7,98.8,47.6,52.4,17:37,14:32,11,31,-1.1,207,62.3
Josh Brown,27,OTT,D,26,207,282,42.3,-6.1,158,203,43.8,-4.5,8.8,91.3,100.1,42.3,57.7,14:08,11:54,3,15,-1.8,31,25.8
Logan Brown,22,OTT,C,1,8,3,72.7,24.1,3,3,50.0,-1.7,0.0,100.0,100.0,0.0,100.0,9:40,5:43,0,1,-0.5,2,0.0
Patrick Brown,28,VEG,C,4,36,23,61.0,3.5,27,14,65.9,9.2,0.0,100.0,100.0,47.1,52.9,9:06,9:05,1,0,-0.8,10,50.0
Jacob Bryson,23,BUF,D,38,477,598,44.4,-1.7,372,480,43.7,-1.8,11.4,91.4,102.8,42.3,57.7,19:03,16:32,2,17,-9.9,65,36.9
Pavel Buchnevich,25,NYR,LW,54,631,720,46.7,-0.3,480,542,47.0,-0.8,13.2,90.4,103.6,51.5,48.5,18:44,14:10,30,39,-1.6,201,59.7
Connor Bunnaman,22,PHI,F,18,133,158,45.7,-5.0,91,117,43.8,-7.3,4.7,89.3,94.0,37.5,62.5,11:34,10:42,5,0,-3.0,27,55.6
Michael Bunting,25,ARI,LW,21,300,238,55.8,6.7,226,190,54.3,4.1,8.8,89.3,98.1,68.8,31.2,16:42,14:42,9,5,-0.4,62,61.3
Andre Burakovsky,25,COL,LW,53,766,525,59.3,0.7,545,403,57.5,-1.3,9.1,88.9,98.0,60.2,39.8,15:06,12:55,16,24,9.1,180,56.7
Brent Burns,35,SJS,D/RW,56,1051,1136,48.1,0.2,787,849,48.1,-0.5,9.7,88.4,98.1,44.3,55.7,26:09,20:36,36,47,2.3,294,46.9
Kyle Burroughs,25,COL,D,5,51,32,61.4,-0.4,39,24,61.9,1.0,7.1,94.1,101.3,57.1,42.9,10:05,9:32,1,1,0.9,8,37.5
Will Butcher,26,NJD,D,23,332,364,47.7,-1.5,243,259,48.4,0.4,9.7,90.1,99.7,52.5,47.5,19:02,17:38,8,8,-4.4,75,49.3
Quinton Byfield,18,LAK,C,6,64,73,46.7,4.0,48,57,45.7,2.0,5.0,94.3,99.3,59.3,40.7,15:01,13:24,3,2,0.0,12,75.0
Bowen Byram,19,COL,D,19,290,229,55.9,-3.0,203,172,54.1,-4.6,8.3,91.6,99.9,58.8,41.2,17:31,16:25,1,5,1.6,43,48.8
Paul Byron,31,MTL,LW,46,419,427,49.5,-5.7,306,323,48.6,-6.1,7.7,93.9,101.5,49.4,50.6,12:51,11:10,13,14,-2.7,81,54.3
Nicholas Caamano,22,DAL,RW,24,161,182,46.9,-6.6,128,141,47.6,-5.1,3.1,90.0,93.1,36.6,63.4,9:21,9:11,5,7,0.0,49,67.3
Drake Caggiula,26,TOT,LW,38,329,432,43.2,-4.7,253,335,43.0,-4.4,8.4,90.1,98.5,45.4,54.6,12:24,11:15,9,10,-3.8,,
Matt Calvert,31,COL,LW,18,193,138,58.3,-1.8,129,102,55.8,-4.0,4.4,93.5,97.9,41.0,59.0,13:49,11:17,6,0,2.7,45,57.8
Kyle Capobianco,23,ARI,D,2,30,15,66.7,12.7,20,12,62.5,9.6,0.0,77.8,77.8,84.2,15.8,14:28,12:10,2,1,0.7,8,37.5
Brandon Carlo,24,BOS,D,27,414,317,56.6,1.5,319,251,56.0,0.1,7.2,89.3,96.5,50.2,49.8,18:43,15:55,6,8,-1.4,90,47.8
John Carlson,31,WSH,D,52,872,855,50.5,1.0,669,660,50.3,1.1,11.3,88.3,99.7,54.9,45.1,23:46,18:36,24,21,1.1,251,51.0
Gabriel Carlsson,24,CBJ,D,14,140,172,44.9,-2.9,101,130,43.7,-5.0,8.8,87.1,95.9,51.3,48.7,14:47,14:15,4,2,-2.0,28,50.0
Lucas Carlsson,23,CHI,D,12,108,129,45.6,0.6,75,104,41.9,-1.5,8.9,96.0,104.9,40.5,59.5,13:04,12:05,2,3,-0.4,18,55.6
Ryan Carpenter,30,CHI,C,40,315,273,53.6,6.6,224,203,52.5,6.5,2.9,90.0,92.9,37.1,62.9,12:41,9:31,4,7,-0.8,75,68.0
Daniel Carr,29,WSH,LW,6,52,56,48.1,-4.9,37,49,43.0,-10.5,7.4,88.2,95.6,53.8,46.2,10:14,10:08,1,2,-1.7,8,62.5
Connor Carrick,26,NJD,D,11,133,218,37.9,-9.1,106,162,39.6,-7.1,10.5,90.5,101.0,43.8,56.2,18:40,17:40,1,8,-1.8,21,38.1
Sam Carrick,28,ANA,C,13,127,135,48.5,0.2,88,109,44.7,-3.6,11.9,94.9,106.8,41.3,58.7,12:55,12:03,2,6,-0.7,35,65.7
Alexandre Carrier,24,NSH,D,19,302,298,50.3,0.4,232,231,50.1,-1.7,7.5,94.7,102.2,46.2,53.8,20:03,18:02,10,9,0.0,68,45.6
William Carrier,26,VEG,LW,52,524,438,54.5,1.7,393,324,54.8,1.6,7.4,91.9,99.2,59.3,40.7,10:25,10:13,12,9,2.7,103,63.1
Jeff Carter,36,TOT,C,54,636,612,51.0,2.2,490,468,51.1,2.5,9.9,91.1,101.0,52.3,47.7,16:34,13:23,20,16,1.3,,
Jackson Cates,23,PHI,C,4,32,39,45.1,-16.4,23,30,43.4,-15.5,5.3,78.9,84.2,34.8,65.2,10:36,10:16,1,1,0.3,8,87.5
Cole Caufield,20,MTL,RW,10,120,106,53.1,-1.3,89,89,50.0,-2.6,10.1,86.2,96.3,56.7,43.3,13:58,12:19,3,4,-1.4,56,53.6
Cody Ceci,27,PIT,D,53,676,690,49.5,-1.1,514,526,49.4,-1.0,11.7,92.7,104.4,50.0,50.0,18:31,15:56,11,15,-1.9,110,52.7
Erik Cernak,23,TBL,D,46,638,548,53.8,2.7,491,436,53.0,1.2,11.7,90.2,101.9,48.9,51.1,19:47,16:44,6,10,4.5,163,52.1
Thomas Chabot,24,OTT,D,49,1037,1099,48.5,0.9,774,812,48.8,0.7,8.2,90.6,98.9,42.5,57.5,26:17,22:33,18,82,-2.9,241,49.8
Michael Chaput,28,ARI,C,13,60,115,34.3,-11.6,47,80,37.0,-8.3,0.0,87.7,87.7,33.3,66.7,9:24,8:46,2,3,-1.3,11,27.3
Zdeno Chara,43,WSH,D,55,709,740,48.9,-1.8,527,567,48.2,-2.4,10.8,91.3,102.1,36.7,63.3,18:19,15:20,14,32,2.2,148,45.3
Jalen Chatfield,24,VAN,D,18,167,222,42.9,-3.8,136,176,43.6,-2.6,5.7,86.1,91.8,33.9,66.1,13:26,12:24,4,3,-5.1,26,53.8
Ivan Chekhovich,22,SJS,LW,4,23,49,31.9,-17.4,17,38,30.9,-17.1,7.7,86.2,93.9,28.6,71.4,10:29,10:17,1,2,-1.3,6,83.3
Ben Chiarot,29,MTL,D,41,706,670,51.3,-4.7,519,507,50.6,-4.0,6.2,89.1,95.3,48.1,51.9,21:47,18:49,9,51,1.4,157,51.6
Alex Chiasson,30,EDM,RW,45,331,395,45.6,-3.1,237,282,45.7,-3.4,7.6,91.4,99.0,46.6,53.4,12:29,9:29,13,10,-3.3,99,65.7
Filip Chlapik,23,OTT,C,1,7,6,53.8,-2.6,6,6,50.0,-2.5,20.0,100.0,120.0,50.0,50.0,7:11,7:11,0,0,0.5,1,100.0
Sasha Chmelevski,21,SJS,C,5,41,41,50.0,2.6,36,32,52.9,6.6,10.3,81.5,91.8,46.9,53.1,9:45,9:45,2,0,0.1,10,80.0
Dennis Cholowski,22,DET,D,16,179,237,43.0,0.2,137,184,42.7,-0.6,6.5,94.6,101.1,58.2,41.8,15:54,14:14,3,6,-3.1,22,45.5
Jakob Chychrun,22,ARI,D,56,970,1000,49.2,1.0,732,733,50.0,2.2,10.5,89.1,99.6,56.9,43.1,23:23,19:36,20,36,-3.6,355,49.6
Filip Chytil,21,NYR,C,42,431,447,49.1,2.7,348,340,50.6,4.5,10.7,92.7,103.4,57.1,42.9,13:14,12:28,23,25,-2.3,123,61.8
Anthony Cirelli,23,TBL,C,50,588,523,52.9,0.8,453,407,52.7,0.6,7.7,90.5,98.2,52.7,47.3,17:45,13:44,21,19,1.9,111,67.6
Casey Cizikas,29,NYI,C,56,446,589,43.1,-7.1,334,440,43.2,-8.0,8.0,92.7,100.7,35.2,64.8,13:50,11:59,12,16,-2.0,112,64.3
Fredrik Claesson,28,TOT,D,6,63,75,45.7,-0.5,49,52,48.5,2.1,5.4,95.3,100.8,59.0,41.0,12:23,11:41,0,7,-0.1,,
Kale Clague,22,LAK,D,18,243,259,48.4,1.1,195,203,49.0,1.3,9.0,87.2,96.3,54.1,45.9,17:12,15:11,1,7,-0.7,46,52.2
Kyle Clifford,30,STL,LW,50,354,386,47.8,-0.8,270,300,47.4,-0.7,4.8,92.5,97.3,43.6,56.4,9:56,9:25,8,13,-4.8,105,61.9
Connor Clifton,25,BOS,D,44,578,588,49.6,-5.0,447,435,50.7,-5.4,8.2,93.9,102.1,47.8,52.2,18:13,16:47,13,15,-0.3,103,46.6
Cal Clutterbuck,33,NYI,RW,50,392,516,43.2,-7.0,295,376,44.0,-7.0,8.8,90.9,99.6,35.8,64.2,13:26,11:31,18,12,-1.2,93,53.8
Braydon Coburn,35,TOT,D,19,209,282,42.6,-6.2,162,203,44.4,-5.2,7.9,90.8,98.7,40.7,59.3,16:03,13:22,4,14,-5.2,,
Dylan Coghlan,22,VEG,D,29,367,297,55.3,2.7,258,219,54.1,0.9,7.6,89.9,97.5,60.2,39.8,13:29,12:56,5,4,-1.5,75,41.3
