Player,Age,Team,Position,GP,CF,CA,CF%,CF rel,FF,FA,FF%,FF rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
John Tavares,30,TOR,C,56,813,719,53.1,2.9,614,537,53.3,2.1,11.1,91.9,103.0,55.3,44.7,18:12,15:33,32,55,11.3,278,58.6
Matt Tennyson,30,NJD,D,21,198,274,41.9,-9.7,155,215,41.9,-10.0,14.0,89.2,103.2,42.6,57.4,14:30,13:24,1,8,-3.7,29,48.3
Teuvo Teravainen,26,CAR,F,21,307,232,57.0,2.8,228,183,55.5,2.7,12.2,90.7,102.9,54.8,45.2,16:26,13:46,10,12,2.2,84,58.3
Troy Terry,23,ANA,C/RW,48,564,504,52.8,5.0,419,389,51.9,5.1,9.5,90.2,99.7,56.4,43.6,14:42,12:49,19,23,2.4,129,53.5
Alexandre Texier,21,CBJ,C,49,551,633,46.5,0.2,410,480,46.1,-1.0,7.7,89.6,97.3,42.9,57.1,15:50,13:46,24,13,-6.7,141,53.2
Shea Theodore,25,VEG,D,53,1061,852,55.5,2.7,773,630,55.1,1.2,12.2,91.7,103.9,58.6,41.4,22:33,19:09,25,35,13.6,348,46.3
Ben Thomas,24,TBL,D,5,60,52,53.6,1.2,50,40,55.6,6.6,10.3,84.0,94.3,71.9,28.1,14:14,13:43,1,1,1.7,7,42.9
Robert Thomas,21,STL,C,33,294,302,49.3,3.0,226,236,48.9,2.0,14.2,87.3,101.5,53.3,46.7,13:36,11:59,10,18,0.1,47,46.8
Nate Thompson,36,WPG,C,44,265,337,44.0,-4.9,199,246,44.7,-4.2,7.9,95.8,103.6,35.9,64.1,9:41,8:14,8,10,0.8,38,52.6
Tage Thompson,23,BUF,C,38,372,444,45.6,-0.6,290,375,43.6,-2.4,7.2,92.8,100.0,48.0,52.0,13:52,12:32,13,10,-0.7,146,65.8
Tyce Thompson,21,NJD,RW,7,45,41,52.3,-3.3,33,29,53.2,-2.3,5.9,82.6,88.5,66.7,33.3,8:43,8:33,2,0,-0.6,6,66.7
Joe Thornton,41,TOR,C,44,473,378,55.6,4.8,364,284,56.2,4.8,10.3,89.7,100.0,67.9,32.1,13:43,11:47,13,29,5.8,66,63.6
Chris Tierney,26,OTT,C,55,601,645,48.2,-0.1,444,500,47.0,-2.1,9.5,88.2,97.7,33.1,66.9,14:59,12:49,22,32,-13.1,82,64.6
Dmytro Timashov,24,NYI,LW,1,4,9,30.8,-16.2,3,8,27.3,-23.7,0.0,66.7,66.7,75.0,25.0,7:13,7:10,0,0,-0.4,1,100.0
Conor Timmins,22,COL,D,31,402,307,56.7,-0.9,298,234,56.0,-0.6,8.6,92.1,100.6,45.9,54.1,13:33,12:56,6,4,3.1,70,44.3
Jarred Tinordi,28,TOT,D,21,226,267,45.8,-7.4,182,200,47.6,-6.0,7.0,88.4,95.5,50.3,49.7,17:06,14:07,6,5,-2.4,,
Owen Tippett,21,FLA,RW,45,452,413,52.3,-2.1,361,316,53.3,-1.3,5.8,91.1,96.9,56.0,44.0,11:29,10:38,18,18,5.1,135,63.7
Brady Tkachuk,21,OTT,LW,56,804,822,49.4,1.6,624,615,50.4,2.5,8.2,88.8,97.1,50.1,49.9,18:14,14:54,33,37,-0.5,319,69.0
Matthew Tkachuk,23,CGY,LW,56,837,643,56.6,5.2,620,508,55.0,3.5,10.0,89.8,99.8,52.8,47.2,18:09,14:47,21,61,11.5,262,57.6
Devon Toews,26,COL,D,53,1093,747,59.4,1.3,811,548,59.7,2.2,11.2,90.6,101.9,57.2,42.8,24:46,19:55,32,19,20.4,221,54.8
Tyler Toffoli,28,MTL,C,52,770,600,56.2,3.7,562,461,54.9,3.5,9.9,87.1,97.0,58.0,42.0,17:31,14:18,25,31,8.0,265,59.6
Eeli Tolvanen,21,NSH,RW,40,404,415,49.3,-0.5,298,319,48.3,-2.7,6.0,90.7,96.8,52.9,47.1,14:48,12:27,8,5,-4.2,137,47.4
Dominic Toninato,26,WPG,C,2,12,22,35.3,-18.0,9,21,30.0,-22.7,12.5,92.9,105.4,16.7,83.3,12:40,12:17,0,0,-0.3,4,50.0
Yakov Trenin,24,NSH,C,45,391,417,48.4,-0.6,308,297,50.9,1.6,8.9,93.7,102.5,23.9,76.1,11:34,11:14,10,13,0.9,106,58.5
Vincent Trocheck,27,CAR,C,47,627,537,53.9,0.0,494,404,55.0,2.2,8.5,90.0,98.5,43.0,57.0,18:14,14:18,17,31,5.7,189,65.1
Jacob Trouba,26,NYR,D,38,594,608,49.4,0.7,461,433,51.6,3.1,8.8,91.1,99.9,50.6,49.4,21:29,17:44,17,24,-2.6,156,44.9
Alexander True,23,SJS,F,7,51,65,44.0,4.2,38,44,46.3,5.2,6.3,96.9,103.1,35.3,64.7,9:59,9:21,2,1,0.1,10,70.0
Alex Tuch,24,VEG,RW,55,757,623,54.9,1.8,547,438,55.5,2.2,10.6,92.5,103.2,55.6,44.4,16:50,14:01,39,18,5.5,242,58.7
Kyle Turris,31,EDM,C,27,212,295,41.8,-7.6,161,223,41.9,-7.9,7.4,88.7,96.1,39.6,60.4,12:19,10:51,8,7,-4.3,51,52.9
Carsen Twarynski,23,PHI,F,7,24,65,27.0,-28.3,17,50,25.4,-28.6,0.0,91.2,91.2,33.3,66.7,8:51,8:50,0,0,-2.3,7,57.1
Urho Vaakanainen,22,BOS,D,9,117,137,46.1,-4.2,90,92,49.5,-2.7,5.6,88.5,94.1,58.4,41.6,18:55,16:56,1,4,0.1,26,57.7
Juuso Valimaki,22,CGY,D,49,647,550,54.1,2.2,486,433,52.9,1.1,9.6,90.0,99.5,63.2,36.8,15:26,13:45,9,28,-0.4,146,49.3
James van Riemsdyk,31,PHI,LW,56,753,589,56.1,5.3,550,444,55.3,5.0,11.2,87.3,98.5,54.8,45.2,16:33,13:47,20,10,2.7,197,67.0
Trevor van Riemsdyk,29,WSH,D,20,279,257,52.1,0.4,211,194,52.1,0.5,6.0,93.2,99.2,46.6,53.4,17:05,15:05,2,7,0.6,49,46.9
Sami Vatanen,29,TOT,D,39,532,485,52.3,-0.4,402,369,52.1,1.0,9.0,91.8,100.8,50.3,49.7,17:01,14:47,8,21,0.9,,
Frank Vatrano,26,FLA,LW,56,667,594,52.9,-0.8,512,449,53.3,-0.6,8.1,93.3,101.4,49.6,50.4,14:31,12:47,23,18,2.4,245,64.5
Joe Veleno,21,DET,C,5,48,63,43.2,2.6,39,52,42.9,2.2,0.0,100.0,100.0,60.5,39.5,15:06,13:28,1,0,-3.3,16,50.0
Carter Verhaeghe,25,FLA,C,43,721,521,58.1,8.9,540,402,57.3,7.8,10.7,91.8,102.5,48.9,51.1,17:44,16:04,19,26,20.2,173,61.8
Kristian Vesalainen,21,WPG,W,12,63,80,44.1,-6.1,43,58,42.6,-8.1,3.3,97.4,100.8,61.4,38.6,8:41,8:39,2,2,-1.2,10,50.0
Jimmy Vesey,27,TOT,LW,50,407,514,44.2,-5.1,314,388,44.7,-4.5,7.5,89.2,96.6,47.3,52.7,12:43,11:03,12,10,-7.4,,
Jeffrey Viel,24,SJS,F,11,64,74,46.4,-7.3,51,57,47.2,-6.6,3.0,83.7,86.8,64.4,35.6,7:16,7:16,0,1,-0.6,15,66.7
Gabriel Vilardi,21,LAK,C,54,535,598,47.2,-0.2,416,452,47.9,0.5,7.8,91.1,98.9,52.1,47.9,14:45,12:35,13,14,-2.6,116,56.0
Jake Virtanen,24,VAN,RW,38,339,432,44.0,-3.8,258,330,43.9,-4.2,5.1,96.2,101.2,37.3,62.7,12:15,11:39,15,11,-4.8,98,51.0
Marc-Edouard Vlasic,33,SJS,D,51,629,724,46.5,-1.5,481,527,47.7,-0.3,7.9,89.4,97.3,39.2,60.8,17:31,15:04,10,15,4.1,87,42.5
Alexander Volkov,23,TOT,RW,37,274,359,43.3,-7.6,207,271,43.3,-7.2,11.1,91.5,102.6,53.9,46.1,11:39,10:42,11,5,-4.3,,
Jakub Voracek,31,PHI,RW,53,726,636,53.3,1.4,531,491,52.0,0.1,12.3,85.3,97.6,56.2,43.8,16:55,14:18,19,27,-3.0,195,53.3
Jakub Vrana,24,TOT,LW,50,548,561,49.4,2.6,420,450,48.3,1.7,14.1,90.9,105.0,65.5,34.5,15:00,12:46,20,31,2.0,,
Austin Wagner,23,LAK,LW,44,365,401,47.7,-0.2,291,310,48.4,0.3,5.3,88.6,93.9,51.5,48.5,10:30,10:19,5,6,-2.2,100,67.0
Chris Wagner,29,BOS,C,41,288,351,45.1,-9.7,220,257,46.1,-9.3,6.2,90.3,96.5,25.1,74.9,11:41,10:05,14,7,-4.4,86,66.3
Oliver Wahlstrom,20,NYI,RW,44,362,387,48.3,-1.7,262,275,48.8,-1.6,7.5,93.4,100.9,51.5,48.5,12:23,10:38,12,9,3.0,179,52.5
Daniel Walcott,26,TBL,D,1,4,8,33.3,-21.5,4,8,33.3,-22.8,0.0,85.7,85.7,0.0,100.0,10:03,9:52,1,0,-0.5,1,100.0
Nathan Walker,26,STL,C,8,65,84,43.6,-4.4,46,60,43.4,-3.3,9.4,85.1,94.5,53.6,46.4,13:30,13:08,3,1,-2.4,17,58.8
Sean Walker,26,LAK,D,47,632,691,47.8,-0.5,484,515,48.4,0.6,9.4,88.4,97.8,51.1,48.9,18:10,15:19,10,24,-9.2,181,50.8
Lucas Wallmark,25,TOT,C,20,133,158,45.7,-4.3,99,126,44.0,-6.1,5.3,89.4,94.7,48.1,51.9,11:23,10:04,5,5,-1.9,,
Jake Walman,24,STL,D,24,276,269,50.6,3.4,210,202,51.0,4.0,5.1,89.6,94.6,50.3,49.7,14:28,13:21,6,16,-0.5,85,55.3
Austin Watson,29,OTT,LW,34,270,357,43.1,-8.3,214,252,45.9,-5.2,10.3,86.0,96.3,28.6,71.4,12:00,9:49,5,11,-3.4,79,51.9
Shea Weber,35,MTL,D,48,814,723,53.0,-2.0,600,546,52.4,-1.7,7.8,89.7,97.5,50.0,50.0,22:42,17:26,11,53,3.9,215,48.4
Yannick Weber,32,PIT,D,2,15,22,40.5,-23.0,11,16,40.7,-21.1,0.0,75.0,75.0,46.2,53.8,11:19,10:20,0,1,-0.1,3,33.3
MacKenzie Weegar,27,FLA,D,54,940,743,55.9,3.6,735,566,56.5,4.4,10.5,91.6,102.2,46.0,54.0,22:07,18:59,44,52,14.0,182,55.5
